n_qubits,max_bond,amplitude_mag,error_vs_uncapped
6,2,0.027057498601271306,0.01969573637564257
6,4,0.004236363936475573,0.003125398289153164
6,6,0.007361762225628737,0.0
6,8,0.007361762225628737,0.0
6,10,0.007361762225628737,0.0
6,12,0.007361762225628737,0.0
6,16,0.007361762225628737,0.0
6,20,0.007361762225628737,0.0
6,24,0.007361762225628737,0.0
6,28,0.007361762225628737,0.0
6,32,0.007361762225628737,0.0
6,48,0.007361762225628737,0.0
6,64,0.007361762225628737,0.0
6,uncapped,0.007361762225628737,0.0
