n_qubits,max_bond,amplitude_mag,error_vs_uncapped
11,2,2.287238852062699e-125,3.9241616925855635e-05
11,4,7.649998251951406e-07,3.84766171006605e-05
11,6,1.412319733277724e-06,3.782929719257791e-05
11,8,4.682127499215607e-07,3.877340417593408e-05
11,10,3.167471455691436e-05,7.566902368941276e-06
11,12,0.0001344721783845764,9.523056145872076e-05
11,16,0.0024071308760136028,0.002367889259087747
11,20,0.000527630281661523,0.0004883886647356673
11,24,3.672361988607725e-05,2.5179970397783854e-06
11,28,3.9241616925855635e-05,0.0
11,32,3.9241616925855635e-05,0.0
11,48,3.9241616925855635e-05,0.0
11,64,3.9241616925855635e-05,0.0
11,uncapped,3.9241616925855635e-05,0.0
