n_qubits,max_bond,amplitude_mag,error_vs_uncapped
8,2,8.489416310994815e-15,0.0004557170463927424
8,4,0.011444020404834615,0.010988303358433383
8,6,0.018819408949468076,0.018363691903066845
8,8,0.00045571704640123183,0.0
8,10,0.00045571704640123183,0.0
8,12,0.00045571704640123183,0.0
8,16,0.00045571704640123183,0.0
8,20,0.00045571704640123183,0.0
8,24,0.00045571704640123183,0.0
8,28,0.00045571704640123183,0.0
8,32,0.00045571704640123183,0.0
8,48,0.00045571704640123183,0.0
8,64,0.00045571704640123183,0.0
8,uncapped,0.00045571704640123183,0.0
