n_qubits,max_bond,amplitude_mag,error_vs_uncapped
8,2,2.4959123342553785e-12,0.0004557170439050846
8,4,0.011309022593983985,0.010853305547582988
8,6,0.019980454237305795,0.0195247371909048
8,8,0.00045571704640099694,0.0
8,10,0.00045571704640099694,0.0
8,12,0.00045571704640099694,0.0
8,16,0.00045571704640099694,0.0
8,20,0.00045571704640099694,0.0
8,24,0.00045571704640099694,0.0
8,28,0.00045571704640099694,0.0
8,32,0.00045571704640099694,0.0
8,48,0.00045571704640099694,0.0
8,64,0.00045571704640099694,0.0
8,uncapped,0.00045571704640099694,0.0
