n_qubits,max_bond,amplitude_mag,error_vs_uncapped
10,2,1.0507694327623406e-41,0.0007257013106634159
10,4,1.675283422871213e-06,0.0007240260272405447
10,6,3.25572529235081e-05,0.0006931440577399078
10,8,0.028253891116284863,0.027528189805621446
10,10,0.0009759721342275285,0.00025027082356411255
10,12,0.0006189588891425586,0.00010674242152085734
10,16,0.0007257013106634159,0.0
10,20,0.0007257013106634159,0.0
10,24,0.0007257013106634159,0.0
10,28,0.0007257013106634159,0.0
10,32,0.0007257013106634159,0.0
10,48,0.0007257013106634159,0.0
10,64,0.0007257013106634159,0.0
10,uncapped,0.0007257013106634159,0.0
