contraction_width_W,contraction_cost_C,convert_time_s,rehearsal_time_s,rehearsal_time_total_s,iterations,n_qubits,circuit_depth,gate_count
14.0,5.731053423246066,0.2793019949999689,3.9623960660001103,4.241698061000079,1,10,1245,1809
12.0,5.854786840218737,0.5848094410002886,9.276679354999942,9.86148879600023,2,10,2487,3589
14.0,6.092355655926492,0.8373688460001176,15.294072122000216,16.131440968000334,3,10,3729,5369
14.0,6.4052411467239185,1.2164700499997707,12.973597443000017,14.190067492999788,4,10,4971,7149
14.0,6.6079154529099835,1.806638950999968,21.084651185999974,22.89129013699994,5,10,6213,8929
15.0,6.698799727522676,2.031041783999626,18.295746323000003,20.32678810699963,6,10,7455,10709
16.0,7.166201982723543,2.5418470479999087,14.801946611000403,17.343793659000312,7,10,8697,12489
