n_qubits,max_bond,amplitude_mag,error_vs_uncapped
8,2,4.317299763782153e-18,0.00045571704640112124
8,4,0.0035323371272446237,0.003076620080843498
8,6,0.006618627963503529,0.006162910917102403
8,8,0.0004557170464011256,0.0
8,10,0.0004557170464011256,0.0
8,12,0.0004557170464011256,0.0
8,16,0.0004557170464011256,0.0
8,20,0.0004557170464011256,0.0
8,24,0.0004557170464011256,0.0
8,28,0.0004557170464011256,0.0
8,32,0.0004557170464011256,0.0
8,48,0.0004557170464011256,0.0
8,64,0.0004557170464011256,0.0
8,uncapped,0.0004557170464011256,0.0
