n_qubits,max_bond,amplitude_mag,error_vs_uncapped
11,2,3.1522094507696314e-142,3.924092319126762e-05
11,4,7.69341344264272e-13,3.9240922421926273e-05
11,6,4.0730574755039025e-05,1.4896515637714074e-06
11,8,7.993167406349616e-07,3.844160645063265e-05
11,10,2.64928268651165e-05,1.2748096326151117e-05
11,12,0.004877733110220679,0.004838492187029412
11,16,0.002661409291791234,0.0026221683685999663
11,20,0.0008793876982598563,0.0008401467750685887
11,24,3.5502512295911936e-05,3.738410895355681e-06
11,28,3.924108001317082e-05,1.5682190320095123e-10
11,32,3.924092319126762e-05,0.0
11,48,3.924092319126762e-05,0.0
11,64,3.924092319126762e-05,0.0
11,uncapped,3.924092319126762e-05,0.0
