n_qubits,max_bond,amplitude_mag,error_vs_uncapped
9,2,2.267841273080808e-13,0.001039318839997094
9,4,0.00034535060556155784,0.0006939682346623203
9,6,0.0035589174761409157,0.0025195986359170374
9,8,0.0010393188402238781,0.0
9,10,0.0010393188402238781,0.0
9,12,0.0010393188402238781,0.0
9,16,0.0010393188402238781,0.0
9,20,0.0010393188402238781,0.0
9,24,0.0010393188402238781,0.0
9,28,0.0010393188402238781,0.0
9,32,0.0010393188402238781,0.0
9,48,0.0010393188402238781,0.0
9,64,0.0010393188402238781,0.0
9,uncapped,0.0010393188402238781,0.0
