n_qubits,max_bond,amplitude_mag,error_vs_uncapped
11,2,7.511087135375685e-131,3.9240616996465865e-05
11,4,1.7202626279774718e-07,3.906859073366812e-05
11,6,0.0007233184659963807,0.0006840778489999148
11,8,4.5482554535117667e-07,3.878579145111469e-05
11,10,2.289733159537513e-05,1.6343285401090736e-05
11,12,7.82343637613255e-05,3.8993746764859636e-05
11,16,0.005604147876066181,0.005564907259069715
11,20,0.0012152970699268687,0.0011760564529304028
11,24,4.082814255272733e-05,1.5875255562614642e-06
11,28,3.9008606102411034e-05,2.3201089405483055e-07
11,32,3.9240616996465865e-05,0.0
11,48,3.9240616996465865e-05,0.0
11,64,3.9240616996465865e-05,0.0
11,uncapped,3.9240616996465865e-05,0.0
